chart_id,close_val,volume,high,chain_id,Liquity,coin_id,date_val
238,0.00146109,16286,0.001492,1,1,7,"2023-08-18 21:51:47"
239,0.00146109,16286,0.001492,1,1,7,"2023-08-18 21:52:18"
240,44.7,3443000,45.13,1,41,4,"2023-08-18 21:52:18"
241,0.204643,2157730,0.211798,1,39,5,"2023-08-18 21:52:37"
242,0.00146109,16286,0.001492,1,1,7,"2023-08-18 21:52:47"
243,44.7,3442040,45.13,1,41,4,"2023-08-18 21:53:02"
244,0.00146109,16286,0.001492,1,1,7,"2023-08-18 21:53:17"
245,0.204677,2157730,0.211798,1,39,5,"2023-08-18 21:53:27"
246,44.7,3442040,45.13,1,41,4,"2023-08-18 21:53:47"
247,0.00146151,16290.6,0.001492,1,1,7,"2023-08-18 21:53:47"
248,0.00146151,16290.6,0.001492,1,1,7,"2023-08-18 21:54:17"
249,0.20473,2158650,0.211798,1,39,5,"2023-08-18 21:54:17"
250,44.69,3441950,45.13,1,41,4,"2023-08-18 21:54:32"
251,0.00146151,16290.6,0.001492,1,1,7,"2023-08-18 21:54:47"
252,0.204702,2158610,0.211798,1,39,5,"2023-08-18 21:55:07"
253,44.71,3439740,45.13,1,41,4,"2023-08-18 21:55:17"
254,0.00146151,16290.6,0.001492,1,1,7,"2023-08-18 21:55:17"
255,0.0014618,16293.9,0.001492,1,1,7,"2023-08-18 21:55:48"
256,0.204651,2158440,0.211798,1,39,5,"2023-08-18 21:56:01"
257,44.71,3439740,45.13,1,41,4,"2023-08-18 21:56:06"
258,0.0014618,16293.9,0.001492,1,1,7,"2023-08-18 21:56:17"
259,44.71,3439850,45.13,1,41,4,"2023-08-18 21:56:48"
260,0.0014618,16293.9,0.001492,1,1,7,"2023-08-18 21:56:48"
261,0.204651,2158440,0.211798,1,39,5,"2023-08-18 21:56:49"
262,0.0014618,16293.9,0.001492,1,1,7,"2023-08-18 21:57:17"
263,44.62,4494990,45.13,1,41,4,"2023-08-18 21:57:32"
264,0.204585,2157720,0.211798,1,39,5,"2023-08-18 21:57:37"
265,0.0014618,16293.9,0.001492,1,1,7,"2023-08-18 21:57:47"
266,44.62,4494990,45.13,1,41,4,"2023-08-18 21:58:18"
267,0.0014618,16293.9,0.001492,1,1,7,"2023-08-18 21:58:18"
268,0.204854,2161480,0.211798,1,39,5,"2023-08-18 21:58:27"
269,0.0014615,16290.5,0.001492,1,1,7,"2023-08-18 21:58:48"
270,44.69,3435310,45.13,1,41,4,"2023-08-18 21:59:02"
271,0.204909,2162460,0.211798,1,39,5,"2023-08-18 21:59:17"
272,0.0014615,16290.5,0.001492,1,1,7,"2023-08-18 21:59:17"
273,44.7,3518280,45.13,1,41,4,"2023-08-18 21:59:47"
274,0.0014615,16290.5,0.001492,1,1,7,"2023-08-18 21:59:47"
275,0.204943,2162760,0.211798,1,39,5,"2023-08-18 22:00:07"
276,0.0014615,16290.5,0.001492,1,1,7,"2023-08-18 22:00:17"
